---,---,---
0,JE01東京駅,
1.2,JE02八丁堀駅,
2.8,JE03越中島駅,
5.4,JE04潮見駅,
7.4,JE05新木場駅,
10.6,JE06葛西臨海公園駅,
12.7,JE07舞浜駅,
16.1,JE08新浦安駅,
18.2,JE09市川塩浜駅,
24.1,西船橋駅〔東葉〕,
22.6,JE10二俣新町駅,
26,JE11南船橋駅,
28.3,JE12新習志野駅,
30,JE13幕張豊砂駅,
31.7,JE14海浜幕張駅,
33.7,JE15検見川浜駅,
35.3,JE16稲毛海岸駅,
36.7,千葉貨物ターミナル駅-2000,
36.8,新港信号場2000-,
39,JE17千葉みなと駅,
40.7,都川信号場-1986,
43,蘇我駅,
---,---,---
#高谷支線,,
18.2,JE09市川塩浜駅,
24.1,JM10西船橋駅,
---,---,---
#仁保支線,,
0,JM10西船橋駅,
5.4,JE11南船橋駅,
---,---,---
